#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  32
# Band-Index    1
   0.00000    -18.149335    -18.149291
   0.07599    -18.135967    -18.135922
   0.15199    -18.095904    -18.095858
   0.22798    -18.029346    -18.029299
   0.30397    -17.936626    -17.936577
   0.37996    -17.818291    -17.818239
   0.45596    -17.675042    -17.674987
   0.53195    -17.507950    -17.507891
   0.60794    -17.318288    -17.318224
   0.68393    -17.107826    -17.107757
   0.75993    -16.878766    -16.878691
   0.83592    -16.634152    -16.634070
   0.91191    -16.378238    -16.378148
   0.98791    -16.116607    -16.116507
   1.06390    -15.856998    -15.856889
   1.13989    -15.609684    -15.609563
   1.21588    -15.388270    -15.388138
   1.29188    -15.209432    -15.209290
   1.36787    -15.091116    -15.090967
   1.44386    -15.049413    -15.049261
   1.44386    -15.049413    -15.049261
   1.48774    -15.046377    -15.046225
   1.53161    -15.037572    -15.037419
   1.57548    -15.022915    -15.022762
   1.61936    -15.002638    -15.002485
   1.66323    -14.977040    -14.976885
   1.70711    -14.946362    -14.946206
   1.75098    -14.911134    -14.910977
   1.79486    -14.871833    -14.871675
   1.83873    -14.829097    -14.828937
   1.88261    -14.783799    -14.783637
   1.92648    -14.736751    -14.736587
   1.97035    -14.689066    -14.688900
   2.01423    -14.641983    -14.641815
   2.05810    -14.596896    -14.596726
   2.10198    -14.555486    -14.555314
   2.14585    -14.519527    -14.519352
   2.18973    -14.490918    -14.490742
   2.23360    -14.471606    -14.471429
   2.27748    -14.463675    -14.463497
   2.27748    -14.463675    -14.463497
   2.36522    -14.496324    -14.496149
   2.45297    -14.593585    -14.593416
   2.54072    -14.757499    -14.757340
   2.62847    -14.980971    -14.980824
   2.71622    -15.250058    -15.249924
   2.80397    -15.549036    -15.548916
   2.89172    -15.862756    -15.862649
   2.97947    -16.178787    -16.178691
   3.06722    -16.487224    -16.487138
   3.15496    -16.780599    -16.780521
   3.24271    -17.053202    -17.053132
   3.33046    -17.300916    -17.300852
   3.41821    -17.520500    -17.520442
   3.50596    -17.709537    -17.709483
   3.59371    -17.866354    -17.866304
   3.68146    -17.989542    -17.989493
   3.76921    -18.078131    -18.078085
   3.85695    -18.131520    -18.131475
   3.94470    -18.149335    -18.149291
 
# Band-Index    2
   3.94470    -18.062947    -18.062892
   3.85695    -18.045371    -18.045316
   3.76921    -17.992626    -17.992569
   3.68146    -17.905050    -17.904991
   3.59371    -17.783327    -17.783266
   3.50596    -17.628399    -17.628334
   3.41821    -17.441647    -17.441578
   3.33046    -17.224748    -17.224674
   3.24271    -16.980302    -16.980222
   3.15496    -16.711347    -16.711261
   3.06722    -16.422275    -16.422180
   2.97947    -16.118726    -16.118621
   2.89172    -15.808380    -15.808265
   2.80397    -15.501021    -15.500894
   2.71622    -15.209381    -15.209241
   2.62847    -14.948229    -14.948077
   2.54072    -14.733427    -14.733264
   2.45297    -14.578223    -14.578052
   2.36522    -14.489154    -14.488977
   2.27748    -14.463675    -14.463497
   2.27748    -14.463675    -14.463497
   2.23360    -14.468625    -14.468447
   2.18973    -14.485292    -14.485115
   2.14585    -14.511643    -14.511467
   2.10198    -14.545671    -14.545497
   2.05810    -14.585422    -14.585250
   2.01423    -14.629118    -14.628947
   1.97035    -14.675050    -14.674882
   1.92648    -14.721757    -14.721591
   1.88261    -14.768005    -14.767841
   1.83873    -14.812652    -14.812489
   1.79486    -14.854785    -14.854624
   1.75098    -14.893624    -14.893464
   1.70711    -14.928481    -14.928322
   1.66323    -14.958830    -14.958672
   1.61936    -14.984125    -14.983968
   1.57548    -15.004222    -15.004065
   1.53161    -15.018773    -15.018617
   1.48774    -15.027558    -15.027402
   1.44386    -15.030541    -15.030386
   1.44386    -15.030541    -15.030386
   1.36787    -15.068685    -15.068532
   1.29188    -15.179302    -15.179155
   1.21588    -15.349979    -15.349841
   1.13989    -15.563890    -15.563762
   1.06390    -15.804688    -15.804571
   0.98791    -16.058690    -16.058582
   0.91191    -16.315521    -16.315422
   0.83592    -16.567268    -16.567177
   0.75993    -16.808218    -16.808134
   0.68393    -17.034116    -17.034037
   0.60794    -17.241909    -17.241835
   0.53195    -17.429211    -17.429142
   0.45596    -17.594277    -17.594212
   0.37996    -17.735789    -17.735727
   0.30397    -17.852744    -17.852685
   0.22798    -17.944392    -17.944335
   0.15199    -18.010182    -18.010125
   0.07599    -18.049735    -18.049679
   0.00000    -18.062947    -18.062892
 
# Band-Index    3
   0.00000     -6.180248     -6.180572
   0.07599     -6.161960     -6.162283
   0.15199     -6.107159     -6.107481
   0.22798     -6.016041     -6.016361
   0.30397     -5.888972     -5.889288
   0.37996     -5.726460     -5.726771
   0.45596     -5.529246     -5.529551
   0.53195     -5.298313     -5.298611
   0.60794     -5.034981     -5.035270
   0.68393     -5.293640     -5.293572
   0.75993     -5.872497     -5.872442
   0.83592     -6.445151     -6.445108
   0.91191     -7.001541     -7.001511
   0.98791     -7.531116     -7.531099
   1.06390     -8.022284     -8.022280
   1.13989     -8.461572     -8.461581
   1.21588     -8.833057     -8.833079
   1.29188     -9.118577     -9.118610
   1.36787     -9.299690     -9.299730
   1.44386     -9.361928     -9.361971
   1.44386     -9.361928     -9.361971
   1.48774     -9.358346     -9.358389
   1.53161     -9.347608     -9.347651
   1.57548     -9.329727     -9.329768
   1.61936     -9.304734     -9.304774
   1.66323     -9.272689     -9.272728
   1.70711     -9.233629     -9.233666
   1.75098     -9.187653     -9.187688
   1.79486     -9.134877     -9.134909
   1.83873     -9.075468     -9.075497
   1.88261     -9.009668     -9.009694
   1.92648     -8.937806     -8.937828
   1.97035     -8.860386     -8.860403
   2.01423     -8.778190     -8.778201
   2.05810     -8.692496     -8.692501
   2.10198     -8.605465     -8.605461
   2.14585     -8.521019     -8.521005
   2.18973     -8.446312     -8.446286
   2.23360     -8.393192     -8.393155
   2.27748     -8.374387     -8.374345
   2.27748     -8.374387     -8.374345
   2.36522     -8.420324     -8.420294
   2.45297     -8.458303     -8.458286
   2.54072     -8.408883     -8.408869
   2.62847     -8.254976     -8.254958
   2.71622     -8.001993     -8.001969
   2.80397     -7.662939     -7.662907
   2.89172     -7.252353     -7.252312
   2.97947     -6.783905     -6.783855
   3.06722     -6.270058     -6.269998
   3.15496     -5.722398     -5.722329
   3.24271     -5.152382     -5.152304
   3.33046     -5.011077     -5.011365
   3.41821     -5.315777     -5.316075
   3.50596     -5.576839     -5.577145
   3.59371     -5.792532     -5.792845
   3.68146     -5.961500     -5.961818
   3.76921     -6.082833     -6.083155
   3.85695     -6.155868     -6.156192
   3.94470     -6.180248     -6.180572
 
# Band-Index    4
   3.94470     -5.203554     -5.203795
   3.85695     -5.180556     -5.180796
   3.76921     -5.111700     -5.111938
   3.68146     -4.997439     -4.997672
   3.59371     -4.838541     -4.838768
   3.50596     -4.636163     -4.636383
   3.41821     -4.391932     -4.392142
   3.33046     -4.572328     -4.572240
   3.24271     -5.145825     -5.145746
   3.15496     -5.715944     -5.715875
   3.06722     -6.263472     -6.263413
   2.97947     -6.776689     -6.776639
   2.89172     -7.243814     -7.243774
   2.80397     -7.652183     -7.652153
   2.71622     -7.987947     -7.987924
   2.62847     -8.236458     -8.236442
   2.54072     -8.384638     -8.384625
   2.45297     -8.427018     -8.427001
   2.36522     -8.380581     -8.380550
   2.27748     -8.328645     -8.328600
   2.27748     -8.328645     -8.328600
   2.23360     -8.349462     -8.349422
   2.18973     -8.406899     -8.406871
   2.14585     -8.485792     -8.485777
   2.10198     -8.573550     -8.573545
   2.05810     -8.663114     -8.663117
   2.01423     -8.750775     -8.750785
   1.97035     -8.834523     -8.834539
   1.92648     -8.913202     -8.913222
   1.88261     -8.986105     -8.986130
   1.83873     -9.052776     -9.052804
   1.79486     -9.112914     -9.112946
   1.75098     -9.166307     -9.166342
   1.70711     -9.212798     -9.212835
   1.66323     -9.252283     -9.252321
   1.61936     -9.284667     -9.284707
   1.57548     -9.309920     -9.309961
   1.53161     -9.327983     -9.328025
   1.48774     -9.338828     -9.338870
   1.44386     -9.342446     -9.342489
   1.44386     -9.342446     -9.342489
   1.36787     -9.279890     -9.279929
   1.29188     -9.098171     -9.098203
   1.21588     -8.812370     -8.812391
   1.13989     -8.441294     -8.441302
   1.06390     -8.003170     -8.003164
   0.98791     -7.513709     -7.513691
   0.91191     -6.986302     -6.986271
   0.83592     -6.432257     -6.432214
   0.75993     -5.861853     -5.861798
   0.68393     -5.284958     -5.284891
   0.60794     -4.718942     -4.718863
   0.53195     -4.375744     -4.375953
   0.45596     -4.591625     -4.591843
   0.37996     -4.776513     -4.776738
   0.30397     -4.929191     -4.929422
   0.22798     -5.048781     -5.049016
   0.15199     -5.134628     -5.134866
   0.07599     -5.186303     -5.186543
   0.00000     -5.203554     -5.203795
 
# Band-Index    5
   0.00000     -1.833649     -1.833500
   0.07599     -1.891657     -1.891510
   0.15199     -2.062314     -2.062171
   0.22798     -2.336041     -2.335906
   0.30397     -2.699507     -2.699382
   0.37996     -3.135490     -3.135377
   0.45596     -3.627067     -3.626965
   0.53195     -4.159468     -4.159377
   0.60794     -4.711646     -4.711567
   0.68393     -4.740975     -4.741252
   0.75993     -4.418623     -4.418887
   0.83592     -4.071085     -4.071333
   0.91191     -3.949072     -3.948958
   0.98791     -4.119365     -4.119254
   1.06390     -4.267112     -4.267002
   1.13989     -4.390360     -4.390251
   1.21588     -4.487653     -4.487545
   1.29188     -4.557919     -4.557812
   1.36787     -4.600329     -4.600223
