     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.87323     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67223     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47223     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27123     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07023     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87023     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26823     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.66623    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -18.46623    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -18.26523    -0.00005    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00005
   -18.06523    -0.00374    -0.00002    -0.00000    -0.00002     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00378
   -17.86423    -0.01694    -0.00022    -0.00000    -0.00022     0.00000     0.00000     0.00000     0.00000     0.00000    -0.01738
   -17.66323    -0.03593    -0.00074    -0.00000    -0.00074     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03741
   -17.46323    -0.05471    -0.00171    -0.00000    -0.00171     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05813
   -17.26223    -0.07356    -0.00315    -0.00000    -0.00315     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07985
   -17.06223    -0.09038    -0.00484    -0.00000    -0.00484     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10007
