     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.87323     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67223     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47223     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27123     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07023     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87023     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26823     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.66623     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.46623     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.26523     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00010
   -18.06523     0.00715     0.00001     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00716
   -17.86423     0.03298     0.00005     0.00000     0.00005     0.00000     0.00000     0.00000     0.00000     0.00000     0.03309
   -17.66323     0.07119     0.00017     0.00000     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000     0.07153
   -17.46323     0.11109     0.00039     0.00000     0.00039     0.00000     0.00000     0.00000     0.00000     0.00000     0.11187
   -17.26223     0.15333     0.00070     0.00000     0.00070     0.00000     0.00000     0.00000     0.00000     0.00000     0.15473
   -17.06223     0.19306     0.00105     0.00000     0.00105     0.00000     0.00000     0.00000     0.00000     0.00000     0.19516
   -16.86123     0.23666     0.00151     0.00000     0.00151     0.00000     0.00000     0.00000     0.00000     0.00000     0.23969
