      #Energy        TDOS-UP        TDOS-DOWN
     -20.87323       0.00000       0.00000
     -20.67223       0.00000       0.00000
     -20.47223       0.00000       0.00000
     -20.27123       0.00000       0.00000
     -20.07023       0.00000       0.00000
     -19.87023       0.00000       0.00000
     -19.66923       0.00000       0.00000
     -19.46923       0.00000       0.00000
     -19.26823       0.00000       0.00000
     -19.06723       0.00000       0.00000
     -18.86723       0.00000       0.00000
     -18.66623       0.00000      -0.00000
     -18.46623       0.00000      -0.00000
     -18.26523       0.00020      -0.00020
     -18.06523       0.01414      -0.01412
     -17.86423       0.06501      -0.06499
     -17.66323       0.14001      -0.13999
     -17.46323       0.21793      -0.21789
     -17.26223       0.29992      -0.29989
     -17.06223       0.37657      -0.37655
     -16.86123       0.45991      -0.45988
     -16.66123       0.55258      -0.55255
     -16.46023       0.63433      -0.63432
     -16.25923       0.71770      -0.71767
     -16.05923       0.82255      -0.82250
     -15.85823       0.93098      -0.93093
     -15.65823       1.02219      -1.02214
     -15.45723       1.14098      -1.14090
     -15.25623       1.29281      -1.29270
     -15.05623       1.46224      -1.46212
     -14.85523       1.66901      -1.66887
     -14.65523       1.84309      -1.84298
     -14.45423       1.94873      -1.94868
     -14.25423       1.99634      -1.99633
     -14.05323       2.00008      -2.00009
     -13.85223       2.00008      -2.00009
     -13.65223       2.00008      -2.00009
     -13.45123       2.00008      -2.00009
     -13.25123       2.00008      -2.00009
     -13.05023       2.00008      -2.00009
     -12.84923       2.00008      -2.00009
     -12.64923       2.00008      -2.00009
     -12.44823       2.00008      -2.00009
     -12.24823       2.00008      -2.00009
     -12.04723       2.00008      -2.00009
     -11.84723       2.00008      -2.00009
     -11.64623       2.00008      -2.00009
     -11.44523       2.00008      -2.00009
     -11.24523       2.00008      -2.00009
     -11.04423       2.00008      -2.00009
     -10.84423       2.00008      -2.00009
     -10.64323       2.00008      -2.00009
     -10.44323       2.00008      -2.00009
     -10.24223       2.00008      -2.00009
     -10.04123       2.00008      -2.00009
      -9.84123       2.00008      -2.00009
      -9.64023       2.00008      -2.00009
      -9.44023       2.00148      -2.00149
      -9.23923       2.04505      -2.04507
      -9.03823       2.13793      -2.13795
      -8.83823       2.26697      -2.26699
      -8.63723       2.41508      -2.41509
      -8.43723       2.56601      -2.56601
      -8.23623       2.72667      -2.72668
      -8.03623       2.84263      -2.84264
      -7.83523       2.90614      -2.90615
      -7.63423       3.00194      -3.00193
      -7.43423       3.09769      -3.09769
      -7.23323       3.16818      -3.16818
      -7.03323       3.24695      -3.24694
      -6.83223       3.33746      -3.33745
      -6.63123       3.44140      -3.44140
      -6.43123       3.54315      -3.54314
      -6.23023       3.63262      -3.63261
      -6.03023       3.73577      -3.73577
      -5.82923       3.86524      -3.86525
      -5.62923       3.97996      -3.98000
      -5.42823       4.11461      -4.11463
      -5.22723       4.29819      -4.29819
      -5.02723       4.48299      -4.48298
      -4.82623       4.67039      -4.67038
      -4.62623       4.90106      -4.90105
      -4.42523       5.13885      -5.13884
      -4.22523       5.37413      -5.37412
      -4.02423       5.57213      -5.57212
      -3.82323       5.74050      -5.74048
      -3.62323       5.92196      -5.92197
      -3.42223       6.08092      -6.08094
      -3.22223       6.22164      -6.22166
      -3.02123       6.36274      -6.36272
      -2.82023       6.52439      -6.52435
      -2.62023       6.68230      -6.68228
      -2.41923       6.80527      -6.80526
      -2.21923       6.94752      -6.94751
      -2.01823       7.09890      -7.09887
      -1.81823       7.23991      -7.23988
      -1.61723       7.37590      -7.37589
      -1.41623       7.49336      -7.49333
      -1.21623       7.62821      -7.62816
      -1.01523       7.75999      -7.75991
      -0.81523       7.85575      -7.85567
      -0.61423       7.92930      -7.92920
      -0.41323       7.98140      -7.98131
      -0.21323       7.99967      -7.99961
      -0.01223       8.00008      -8.00001
       0.18777       8.00008      -8.00001
       0.38877       8.00008      -8.00001
       0.58877       8.00008      -8.00001
       0.78977       8.00008      -8.00001
       0.99077       8.00008      -8.00001
       1.19077       8.00008      -8.00001
       1.39177       8.00008      -8.00001
       1.59177       8.00008      -8.00001
       1.79277       8.00008      -8.00001
       1.99377       8.00008      -8.00001
       2.19377       8.00008      -8.00001
       2.39477       8.00008      -8.00001
       2.59477       8.00008      -8.00001
       2.79577       8.00008      -8.00001
       2.99577       8.00008      -8.00001
       3.19677       8.00008      -8.00001
       3.39777       8.00008      -8.00001
       3.59777       8.00008      -8.00001
       3.79877       8.00012      -8.00005
