     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -20.87323     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67223     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.47223     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.27123     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.07023     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.87023     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.66923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.46923     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.26823     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86723     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.66623    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -18.46623    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -18.26523    -0.00052    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00053
   -18.06523    -0.03620    -0.00021    -0.00000    -0.00021     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03663
   -17.86423    -0.09548    -0.00176    -0.00000    -0.00176     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09901
   -17.66323    -0.09382    -0.00343    -0.00000    -0.00343     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10068
   -17.46323    -0.09350    -0.00622    -0.00000    -0.00622     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10594
   -17.26223    -0.09438    -0.00812    -0.00000    -0.00812     0.00000     0.00000     0.00000     0.00000     0.00000    -0.11063
   -17.06223    -0.07338    -0.00878    -0.00000    -0.00878     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09094
