      #Energy        TDOS-UP        TDOS-DOWN
     -20.87323       0.00000       0.00000
     -20.67223       0.00000       0.00000
     -20.47223       0.00000       0.00000
     -20.27123       0.00000       0.00000
     -20.07023       0.00000       0.00000
     -19.87023       0.00000       0.00000
     -19.66923       0.00000       0.00000
     -19.46923       0.00000       0.00000
     -19.26823       0.00000       0.00000
     -19.06723       0.00000       0.00000
     -18.86723       0.00000       0.00000
     -18.66623       0.00000      -0.00000
     -18.46623       0.00000      -0.00000
     -18.26523       0.00197      -0.00197
     -18.06523       0.13700      -0.13690
     -17.86423       0.37030      -0.37030
     -17.66323       0.37750      -0.37750
     -17.46323       0.39940      -0.39930
     -17.26223       0.41820      -0.41830
     -17.06223       0.34610      -0.34610
     -16.86123       0.48480      -0.48470
     -16.66123       0.43930      -0.43940
     -16.46023       0.37580      -0.37590
     -16.25923       0.45550      -0.45520
     -16.05923       0.58990      -0.59000
     -15.85823       0.49130      -0.49120
     -15.65823       0.41820      -0.41830
     -15.45723       0.76620      -0.76580
     -15.25623       0.74770      -0.74780
     -15.05623       0.94170      -0.94150
     -14.85523       1.12000      -1.12000
     -14.65523       0.61580      -0.61610
     -14.45423       0.43750      -0.43780
     -14.25423       0.03725      -0.03741
     -14.05323       0.00001      -0.00001
     -13.85223       0.00000      -0.00000
     -13.65223       0.00000       0.00000
     -13.45123       0.00000       0.00000
     -13.25123       0.00000       0.00000
     -13.05023       0.00000       0.00000
     -12.84923       0.00000       0.00000
     -12.64923       0.00000       0.00000
     -12.44823       0.00000       0.00000
     -12.24823       0.00000       0.00000
     -12.04723       0.00000       0.00000
     -11.84723       0.00000       0.00000
     -11.64623       0.00000       0.00000
     -11.44523       0.00000       0.00000
     -11.24523       0.00000       0.00000
     -11.04423       0.00000       0.00000
     -10.84423       0.00000       0.00000
     -10.64323       0.00000       0.00000
     -10.44323       0.00000       0.00000
     -10.24223       0.00000       0.00000
     -10.04123       0.00000       0.00000
      -9.84123       0.00000      -0.00000
      -9.64023       0.00000      -0.00000
      -9.44023       0.01401      -0.01402
      -9.23923       0.42040      -0.42050
      -9.03823       0.50570      -0.50560
      -8.83823       0.78100      -0.78100
      -8.63723       0.69580      -0.69580
      -8.43723       0.80910      -0.80900
      -8.23623       0.79290      -0.79300
      -8.03623       0.36330      -0.36330
      -7.83523       0.27000      -0.26990
      -7.63423       0.68520      -0.68520
      -7.43423       0.26950      -0.26960
      -7.23323       0.43340      -0.43330
      -7.03323       0.35200      -0.35200
      -6.83223       0.55050      -0.55050
      -6.63123       0.48590      -0.48590
      -6.43123       0.52860      -0.52860
      -6.23023       0.36350      -0.36350
      -6.03023       0.66510      -0.66510
      -5.82923       0.62580      -0.62600
      -5.62923       0.51810      -0.51810
      -5.42823       0.82450      -0.82430
      -5.22723       1.00600      -1.00600
      -5.02723       0.83660      -0.83660
      -4.82623       1.03200      -1.03200
      -4.62623       1.26800      -1.26800
      -4.42523       1.10300      -1.10300
      -4.22523       1.24300      -1.24300
      -4.02423       0.73130      -0.73130
      -3.82323       0.94750      -0.94740
      -3.62323       0.86190      -0.86220
      -3.42223       0.72310      -0.72290
      -3.22223       0.68000      -0.68020
      -3.02123       0.72690      -0.72640
      -2.82023       0.88490      -0.88520
      -2.62023       0.68960      -0.68950
      -2.41923       0.53660      -0.53670
      -2.21923       0.88180      -0.88170
      -2.01823       0.62760      -0.62750
      -1.81823       0.77840      -0.77860
      -1.61723       0.57760      -0.57750
      -1.41623       0.59360      -0.59350
      -1.21623       0.75100      -0.75090
      -1.01523       0.56290      -0.56280
      -0.81523       0.39200      -0.39200
      -0.61423       0.34130      -0.34120
      -0.41323       0.17820      -0.17840
      -0.21323       0.00402      -0.00404
      -0.01223       0.00000      -0.00000
       0.18777       0.00000      -0.00000
       0.38877       0.00000       0.00000
       0.58877       0.00000       0.00000
       0.78977       0.00000       0.00000
       0.99077       0.00000       0.00000
       1.19077       0.00000       0.00000
       1.39177       0.00000       0.00000
       1.59177       0.00000       0.00000
       1.79277       0.00000       0.00000
       1.99377       0.00000       0.00000
       2.19377       0.00000       0.00000
       2.39477       0.00000       0.00000
       2.59477       0.00000       0.00000
       2.79577       0.00000       0.00000
       2.99577       0.00000       0.00000
       3.19677       0.00000       0.00000
       3.39777       0.00000      -0.00000
       3.59777       0.00000      -0.00000
       3.79877       0.00040      -0.00041
       3.99877       0.08286      -0.08373
       4.19977       0.63850      -0.64050
